Artikelnummer im Shop;EAN / Barcodenummer;Original Herstellerartikelnummer;Herstellername;Produktname;Produktgruppe im Shop;Preis (Brutto);Lieferzeit;ProduktURL;BildURL_1 (großes Bild);BildURL_2 (großes Bild);BildURL_3 (großes Bild);Vorkasse;Vorkasse / Paypal Österreich;Nachnahme;Kreditkarte (z.B. nur bis 1000 EUR);Paypal;Sofortüberweisung;Bankeinzug;Rechnung;Moneybookers;Click & Buy;Giropay;Versandkosten Kommentar (max. 100 Zeichen);Produktbeschreibung (max. 1000 Zeichen);Grundpreis (Produktabhängig)
HD-LOCK;4251399812019;LOCK;Topro;TOPRO Rollatorschloss LOCK;Mobilität > Rollatoren und Zubehör > Rollatoren Zubehör;65.0000;3-4 Tage;https://www.brandvital.de/topro-rollatorschloss-lock.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/t/o/topro_lock.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p>Zum abschließen Ihres TOPRO Premiumrollators und anderer Modelle durch Universaladapter.</p><br /><p>Das neue Topro Rollatorenschloss LOCK mit dem 110 cm langen Sicherungskabel lässt sich leicht und komfortabel bedienen. Direkt am Topro Rollator, oder auch mit Hilfe des Universaladapters nutzbar für viele andere Gehilfen, wie Standardrollatoren, Scooter, E-Rollstühle oder Gehgestelle. </p><br /><p>Mit dem langen Sicherungskabel ist die Durchführung der Sicherung des Rollators an festen Gegenständen einfach zu bewältigen. Mit Hilfe des mitgelieferten Zusatzkabels bietet Ihnen Topro außerdem die Sicherung Ihrer Wertgegenstände, z.B. der Tasche die Sie ins Einkaufsnetz gelegt haben. Benötigen Sie das Sicherungskabel nicht, rollen Sie es mit dem Roll-Klick wieder auf. Das Prinzip ähnelt dem Aufbau einer Kabeltrommel. Mit dieser Mechanik gehen Sie sicher, dass Sie sich für ein langlebiges und robustes Produkt entschieden haben.</p><br /><p>Das 250 g leichte Topro Schloss LOCK wird geliefert inkl.  2 Schlüsseln,dem 110 cm PVC-ummantelten Sicherungskabel, einem 60 cm langen Zusatzkabel, einem Universaladapter für viele andere Produkte wie Scooter, Rollstühle, andere Rollatoren und einer  Bedienungsanleitung.</p><br /><p></p>;;
SM-1116700;0606959030916;1116700;Philips Respironics;Nasenmaske DreamWear;Medizintechnik > CPAP - Schlafapnoe > Nasenmasken;159;1-2 Tage;https://www.brandvital.de/nasenmaske-dreamwear.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/p/h/philips-nasenmaske-dreamwear-5_24090.jpg;https://www.brandvital.de/pub/media/catalog/product/p/h/philips-nasenmaske-dreamwear-5_24090.jpg;;0;0;0;0;0;0;0;0;0;0;0;;<p>Im Lieferumfang sind vier Maskenkissen für alle Größen, ein Maskenrahmen in der Standardgröße M, das Kopfband, sowie 2 Stoffpolster enthalten, die optional am Rahmen befestigt werden können. Das Schlaftherapiegerät ist separat zu erwerben. Der Schlauchanschluss ist genormt, so dass die DreamWear Maske auch mit anderen Therapiegeräten kompatibel ist. Das Maskenkissen liegt angenehm unter der Nase an, so dass keine Druckstellen auf dem Nasenrücken entstehen und unangenehme Hautreizungen an den Nasenlöchern verhindert werden. DreamWear vereint die Vorteile von Minimalkontaktmasken und Nasenmasken, bietet hohen Komfort und kann zu einer erfolgreichen Schlaftherapie beitragen.</p>;;
SM-1124984;0653020278425;1124984;Philips Respironics;Gelkissenmaske DreamWear;Medizintechnik > CPAP - Schlafapnoe;149;1 Woche;https://www.brandvital.de/gelkissenmaske-dreamwear.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/p/i/pillowgel.jpg;https://www.brandvital.de/pub/media/catalog/product/g/e/gelkissendreamwear_image.jpg;;0;0;0;0;0;0;0;0;0;0;0;;<p>Im Lieferumfang sind drei Maskenkissen (in den Größen S, M und L), ein Maskenrahmen in der Standardgröße M, das Kopfband sowie 2 Stoffpolster enthalten, die optional am Rahmen befestigt werden können. Das Schlaftherapiegerät ist separat zu erwerben. Der Schlauchanschluss ist genormt, sodass die DreamWear Maske auch mit anderen Therapiegeräten kompatibel ist. Wählen Sie das Maskenkissen so aus, dass die blauen Gelböden des Maskenkissens bequem und ohne Zwischenräume unter der Nase sitzen. Nur die weiche Silikonspitze sollte sich innerhalb Ihrer Nasenlöcher befinden. Drücken Sie die blauen Gelböden nicht in die Nasenlöcher. Dank der Platzierung des Schlauches oben auf dem Kopf bietet das DreamWear Gelkissen nachts mehr Bewegungsfreiheit. Benutzer gaben an, dass sie mit DreamWear Gelkissen eine beliebige Schlafposition einnehmen konnten.</p>;;
SM-1133400;606959045880;1133400;Philips Respironics;Full Face Maske DreamWear;Medizintechnik > CPAP - Schlafapnoe > Full Face Masken;169;1 Woche;https://www.brandvital.de/full-face-maske-dreamwear.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/f/f/ffdreamwear.jpg;https://www.brandvital.de/pub/media/catalog/product/f/f/ffimage.jpg;;0;0;0;0;0;0;0;0;0;0;0;;<p>Im Lieferumfang sind vier Maskenkissen für alle Größen, ein Maskenrahmen in der Standardgröße M und ein Full Face Kopfband mit magnetischen Clips enthalten. Das Schlaftherapiegerät ist separat zu erwerben. Der Schlauchanschluss ist genormt, so dass die DreamWear Maske auch mit anderen Therapiegeräten kompatibel ist. Dank der Platzierung des Schlauches oben am Kopf bietet DreamWear Full Face nachts mehr Bewegungsfreiheit. Nutzer gaben an, dass sie mit DreamWear Full Face eine beliebige Schlafposition einnehmen konnten.* Mund-Nasen-Maskenkissen unter der Nase Das innovative Design des unter der Nase aufliegenden Kissens verhindert Druckstellen, ein unangenehmes Tragegefühl und Hautreizungen auf dem Nasenrücken.**</p><br /><p></p><br /><p>* Gemäß der Analyse der Daten einer Studie zu Patientenpräferenzen von August 2017 mit n = 85 und folgenden verschriebenen Masken: Resmed Airfit F10 und F20, Respironics Amara View und F&P Simplus (basierend auf 10 Tagen Nutzung).<br />** Designversprechen – designbedingt kommt die Maske mit dem Nasenrücken nicht in Berührung.</p>;;
HP-6310_;0619498631063;63106;ResMed;AirFit™ F10 Full Face Maske;Medizintechnik > CPAP - Schlafapnoe > Full Face Masken;149.99;3-4 Tage;https://www.brandvital.de/airfittm-f10-full-face-maske.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/a/i/airfit_f10_hero_front.jpg;https://www.brandvital.de/pub/media/catalog/product/a/i/airfit_f10_hero_rearqrhs.jpg;;0;0;0;0;0;0;0;0;0;0;0;;<p><span>Im Lieferumfang ist enthalten: 1 x ResMed AirFit™ F10 Full Face Maske, 1 x Kopfband, Gebrauchsanweisung.</span></p><br /><p>Die Full Face Maske AirFit™ F10 gehört zur neuen AirFit™ Maskenserie. Tragekomfort und Anwenderfreundlichkeit sind durch das neue Design weiter verbessert worden. Das flexible Zusammenspiel zwischen Kopfband und Maskenrahmen ermöglicht höchsten Tragekomfort und hohe Stabilität in gewohnter ResMed Qualität. <br /><br />ResMed AirFit™ F10 steht für: bewährte Leistung mit verbessertem Komfort Wie alle ResMed Full Face Masken bietet auch die neue ResMed AirFit™ F10 Maske eine hervorragende Leckagesicherheit. Das bewährte doppelwandige Maskenkissen mit Luftfedertechnologie sorgt für mehr Dichtigkeit und Stabilität. Das extra-leichte und schlanke Design ermöglicht eine freie Sicht, so dass mit der Maske gelesen, ferngesehen und sogar eine Brille getragen werden kann. Sie werden die neu gewonnene Bewegungsfreiheit schätzen lernen. Für eine möglichst ungestörte Nachtruhe für Sie und Ihren Partner wird die Ausatemluft durch zirkuläre, diffuse Luftverteilung sanft weggeleitet. Genau diese Funktionalität ermöglicht es Ihnen, einen komfortablen und ruhigen Schlaf zu genießen. <br /><br />Um das Anlegen der CPAP-Maske, das Auseinander nehmen und Reinigen sowie Zusammensetzen so einfach wie möglich zu gestalten, wurde das Design der neuen AirFit™ F10 optimiert. Die Vollgesichtsmaske besteht nur noch aus vier Komponenten. Dank der sehr intuitiven Handhabung lässt sich diese CPAP-Maske problemlos in Ihren abendlichen Ablauf integrieren. Alle Vorteile der ResMed AirFit™ F10 im Überblick Ein leichtes Design kombiniert mit einem weichen und angenehmen Kopfband erhöhen den Tragekomfort spürbar bereits ab der ersten Anwendung. Das neue Kopfband sitzt zudem höher am Kopf, wodurch der empfindliche Nackenbereich geschont wird. Durch den verbesserten, extra-leichten Flexirahmen entfällt die sonst bei Full Face Masken übliche Stirnstütze und ermöglicht Ihnen dadurch ein freies Sichtfeld, ohne jedoch auf die notwendige Stabilität verzichten zu müssen. Aufnahmehaken erleichtern das Abnehmen und Wiederanlegen des Kopfbandes, ganz ohne erneutes Einstellen. Wenn Sie nachts einmal aufstehen möchten, können Sie die Maske auf einfachste Weise vom Atemschlauch trennen.</p>;;
HM-HCZ01-ST1-W;4251233800059;HCZ01-ST1-W;HUM;CPAP Maskenständer AEROtube;Medizintechnik > CPAP - Schlafapnoe > CPAP Systeme Zubehör;18.95;1-2 Tage;https://www.brandvital.de/cpap-maskenstander-aerotube.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/h/u/hum_maskenst_nder.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Der Maskenständer eignet sich zur Aufbewahrung nahezu aller CPAP Masken (Nasal-, Kissen- und Full Face Masken) nach dem Schlafen oder nach der Reinigung. Der stabile Standfuß dient als Stabilisator der Halterung und zum Auffangen von Wasserrückständen. Durch die verstellbaren Klemmen kann die Anpassung an verschiedene Maskenmodelle umstandslos erfolgen.</p>;;
HM-HCZ01-SH1-BLK;4251233800042;HCZ01-SH1-BLK;HUM;CPAP Schlauchhülle AEROtube;Medizintechnik > CPAP - Schlafapnoe > CPAP Systeme Zubehör;19.9500;1-2 Tage;https://www.brandvital.de/cpap-schlauchhulle.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/s/c/schlauchh_lle.jpeg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Die Schlauchhülle ist ein Überzug für CPAP Schläuche und dient zur Vermeidung von Kondenswasserbildung. Die Länge beträgt ca. 1,73 m und ist mit CPAP Schläuchen mit 1,80 m Länge kompatibel. Die Wärmespeicherung entlang des Schlauchs wird verbessert.</p>;;
HM-HCZ01-RS1-HB;4251233800066;HCZ01-RS1-HB;HUM;CPAP Reinigungssystem AEROtube;Medizintechnik > CPAP - Schlafapnoe > CPAP Systeme Zubehör;14.95;1-2 Tage;https://www.brandvital.de/cpap-reinigungssystem-aerotube.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/s/c/schlauchreinigung.jpeg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Das CPAP Schlauch-Reinigungssystem vereinfacht die Reinigung und Aufbewahrung von CPAP-Schläuchen. Die Befestigung des Systems erfolgt per Saugnapf oder Haken.</p>;;
HM-HCZ01-NP-ML;4251233800028;HCZ01-NP-ML;HUM;CPAP Nasenpolster AEROtube;Medizintechnik > CPAP - Schlafapnoe > CPAP Systeme Zubehör;18.95;1-2 Tage;https://www.brandvital.de/cpap-nasenpolster-aerotube.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/n/a/nasenpad.jpeg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Das AEROtube Nasenpolster ist ein angenehm, weiches Nasenpad, welches auf dem Nasenrücken sitzt. Hautreizungen und Druckstellen auf dem Gesicht werden reduziert, Maskenleckagen werden minimiert und der Komfort der Maske verbessert sich rundum.</p>;;
MED-011601150101;;011601150101;Medicare;CPAP-Reinigungstücher MediWipes;Medizintechnik > CPAP - Schlafapnoe > Zubehör für CPAP Masken;12.95;1-2 Tage;https://www.brandvital.de/cpap-reinigungstucher-mediwipes.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/m/e/mediwipes_1.jpg;https://www.brandvital.de/pub/media/catalog/product/m/e/mediwipe.jpg;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>MediWipes Reinigungs- und Desinfektionstücher ohne Alkohol MediWipes sind Tücher, die sich hervorragend zur Reinigung von CPAP-Masken eignen. Sie sind wirksam gegen Bakterien, Viren und Pilze. Die Einwirkzeit beträgt 1 Minute. Die Reinigungsflüssigkeit der MediWipes enthält keinen Alkokol. Dieser sorgt zwar dafür, dass die Maske schneller trocknet, greift aber auch das Material an. Mit den MediWipes Reinigungstüchern ist eine gründliche und zugleich schonende Reinigung, beziehungsweise Desinfektion, der Masken gewährleistet. Weiterhin können Flächen und andere medizinische Geräte mit den MediWipes gereinigt und desinfiziert werden.</p><br /><p><strong>Anwendung: </strong></p><br /><p>Die zu desinfizierende Oberfläche gründlich mit einem feuchtem Desinfektionstuch abreiben, Maske nach 1 Minute Einwirkzeit mit einem saugfähigen Tuch trockenreiben. Ein Tuch reicht für eine Fläche von ca. 30 x 30 cm.</p>;;
RU-16523304;4250649102702;16523305;Thera-Band;Thera-Band Stabilitätstrainer;Fitness und Ernährung > Fitness und Sport > Balance-Board (Kissen);28.5000;2-3 Wochen;https://www.brandvital.de/thera-band-stabilitatstrainer.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/t/h/thera-band_stabilit_tstrainer.jpg;https://www.brandvital.de/pub/media/catalog/product/t/h/thera-band_stabilit_ts.jpg;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Wer regelmäßig mit dem Thera-Band Stabilitätstrainer trainiert, kann Gleichgewichtssinn, Haltung und Koordination unterstützen. Es gibt ihn in zwei Schwierigkeitsgraden: leicht für Einsteiger (grün) und schwer für Fortgeschrittene (blau). Er ist aus geschlossenzelligem Schaumstoff. Übungsanleitungen liegen bei.</p>;;
HE-5192540_;04260639950015;028-M1110CE;Medutek;O2-Sicherheitsschlauch, 10 m;Medizintechnik > Sauerstoffversorgung;3.99;1-2 Tage;https://www.brandvital.de/o2-sicherheitsschlauch-10-m.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/s/i/sicherheitsschlauch-web-800x800-800x800_7.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Die Schlauchlänge des PVC-Schlauchs beträgt 10 m.</p><br /><p></p><br />;;
DEC-E-MOVE;;E-Move;Decon Mobility;elektrischer Greifreifenantrieb e-Move;Mobilität > Rollstuhl Zusatzantriebe;5499.0000;2-3 Wochen;https://www.brandvital.de/elektrischer-greifreifenantrieb-e-move.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/e/m/emove2.jpeg;https://www.brandvital.de/pub/media/catalog/product/e/m/emove.jpeg;https://www.brandvital.de/pub/media/catalog/product/e/m/emove1.jpeg;0;0;0;0;0;0;0;0;0;0;0;;<p>E-Move ist ein elektrischer Greifreifenantrieb für handbetriebene Rollstühle. Bei Nutzung der Greifreifen unterstützt der E-Move in kraftvoller Art und Weise die Anschubbewegung des Rollstuhlfahrers. Muskeln und Gelenke werden weniger beansprucht, so dass Rollstuhlfahrer auch längere Strecken mühelos bewältigen können. Somit schafft der E-Move ein höheres Maß an persönlicher Freiheit und Mobilität. Einzigartig am E-Move sind die Einstellmöglichkeiten des Unterstützungsgrades. Viele Einstellungen des E-Move-Systems wie Motorleistung, unterschiedliche Kräfteverhältnisse in den Armen des Rollstuhlfahrers und die Wendigkeit des Systems können an die individuellen Bedürfnisse angepasst werden. Der E-Move lässt sich so programmieren, dass er auf schiefen Ebenen ohne Eingreifen seines Benutzers automatisch gegensteuert (Gyrofunktion). Um längere Strecken zurücklegen zu können, kann der E-Move so eingestellt werden, dass sich der Rollstuhl mit nur einer minimalen Anschubbewegung bis zu 20 m weit fortbewegen lässt, ohne das der Benutzer gegensteuern muss, Damit ist das E-Move-System in der Lage, jeden Rollstuhlfahrer seinen individuellen Wünschen entsprechend zu unterstützen. Mit der sogenannten Hemiplegie-Einstellung kann der Rollstuhl auf eine einarmige Bedienung eingestellt werden. Registriert das System eine Anschubbewegung an einem der Räder, kommuniziert es mit dem anderen Rad und setzt beide Räder im Geradeauslauf in Bewegung. Der Benutzer kann den Rollstuhl mit dem Fuß der gesunden Körperhälfte steuern.</p><br /><p><strong>Im Grundmodell enthalten sind:</strong></p><br /><ul><br /><li>zwei Antriebsräder, Steckachse</li><br /><li>Akkutsche am Rücken oder unter dem Sitz montiert</li><br /><li>Nickel-Metallhydrid-Akku 24V  6,7 Ah  160,8 Wh, Reichweite 20 Km (bei optionalem Lithium-Ionen-Akku: 40 km)</li><br /><li>Greifreifen Edelstahl</li><br /><li>Pneu Profil fein, Luft x1 Schwalbe</li><br /></ul><br /><p>Bitte geben Sie bei Ihrer Bestellung unbedingt Ihren Rollstuhl Hersteller, Modell, sowie Sitzbreite und Sitzhöhe mit an.</p>;;
WM-26118;04050384220194	 ;26128;Löwenstein Medical;Nasal-Maske Typ Joyce Silk Gel;Medizintechnik > CPAP - Schlafapnoe > Nasenmasken;99;3-4 Tage;https://www.brandvital.de/nasal-maske-typ-joyce-silk-gel.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/n/a/nasal_joyce_silk_gel.jpg;;;0;0;0;0;0;0;0;0;0;0;0;;<p>JOYCE SilkGel ist die jüngste Gel-Variante der bewährten Masken der JOYCE-Familie. Es gibt sie als Nasal- und Mund-Nasen-Masken. Der sehr hohe Tragekomfort macht die individuell zusammenstellbaren Masken zu etwas ganz Besonderem. Ihre Maskenwulst und das Stirnpolster sind mit Löwenstein Medical SilkTec versehen. Die glatte Oberfläche dieser hochwertigen Beschichtung fühlt sich seidig-sanft an und garantiert noch mehr Tragekomfort. Das Gel-Stirnpolster und die Bänderung mit optimiertem Schnitt runden die SilkGel-Masken perfekt ab.</p><br /><p><strong>Im Lieferumfang der JOYCE SilkGel sind folgende Bestandteile enthalten:</strong></p><br /><ul><br /><li>Maskenwulst Nasal SilkGel</li><br /><li>Maskenkörper</li><br /><li>Set Kugelgelenk nasal vented</li><br /><li>Stirnstütze Silk Gel</li><br /><li>Verschluss für Druckmessstutzen</li><br /><li>Kopfbänderung JOYCE SilkGel</li><br /></ul><br /><p></p><br /><p></p><br /><p><span style="color: #59b031 ">Wir machen Sie darauf aufmerksam, dass gemäß § 312g Abs. 2 Nr. 3 BGB, der Umtausch und/oder die Rückgabe von Hygieneartikel nur in ungeöffneter Originalverpackung möglich ist.</span></p>;;
SY-115216---SCMA115216;4032651152162	 ;115216;Schuelke und Mayr;Händedesinfektionsmittel Sensiva, 500 ml;Pflege > Pflege- und Desinfektionsmittel;3.06;1-2 Tage;https://www.brandvital.de/handedesinfektionsmittel-sensiva.html?___store%5B_data%5D%5Bstore_id%5D=2&___store%5B_data%5D%5Bcode%5D=german&___store%5B_data%5D%5Bwebsite_id%5D=1&___store%5B_data%5D%5Bgroup_id%5D=1&___store%5B_data%5D%5Bname%5D=BRANDvital+GmbH&___store%5B_data%5D%5Bsort_order%5D=0&___store%5B_data%5D%5Bis_active%5D=1;https://www.brandvital.de/pub/media/catalog/product/s/e/sensiva_haendedesinfektion_500ml_de_picture_screen_rgb-115216.jpg;;;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;5.9500;;<p>Alkoholisches Einreibepräparat für die hygienische und chirurgische Händedesinfektion mit hautpflegenden Komponenten. Inhalt: 500 ml</p><br /><p><strong>Anwendungsgebiete: </strong></p><br /><ul><br /><li>hygienische Händedesinfektion: 3 ml sensiva Händedesinfektion 30 Sek. in die trockenen Hände einreiben.</li><br /><li>chirurgische Händedesinfektion: Eine ausreichende Menge sensiva® Händedesinfektion 90 Sek. in die Hände und Unterarme einreiben.</li><br /></ul><br /><p></p><br /><p><strong>Anwendungshinweise:</strong></p><br /><ul><br /><li><span>sensiva</span><span> Händedesinfektion wird unverdünnt angewendet</span></li><br /><li><span>Während der Einwirkzeit bei der hygienischen und chirurgischen Händedesinfektion sollte die Anwendung von sensiva</span></li><br /><li>Händedesinfektion so erfolgen, dass die Hände während der gesamten Applikationszeit gut angefeuchtet bleiben</li><br /></ul><br /><p></p><br /><p><strong>Besondere Hinweise:</strong></p><br /><div class="accordion"><br /><div class="content"><br /><ul><br /><li>Entzündlich. Nicht in die Augen bringen. Bei versehentlichem Augenkontakt sofort bei geöffnetem Lidspalt mehrere Minuten mit viel Wasser spülen</li><br /><li>Nicht in Kontakt mit offenen Flammen oder eingeschalteten Heizquellen bringen</li><br /><li>Nach Ablauf des Verfalldatums nicht mehr anwenden</li><br /></ul><br /></div><br /></div><br /><div class="accordion"><br /><div class="head active"><br /><div class="headline"></div><br /></div><br /></div><br /><p><strong><br /></strong></p>;;
